level,doc_type,file,producer,printed_date,file_creation_date,gap_days
L0_naive,medical,forged_careful/L0_naive/medicals/medical_115_L0_naive_0000.pdf,Microsoft® Word for Microsoft 365,2025-08-21,2026-04-27,249
L0_naive,letter,forged_careful/L0_naive/letters/letter_251_L0_naive_0001.pdf,LibreOffice 7.5,2026-05-21,2026-08-24,95
L0_naive,medical,forged_careful/L0_naive/medicals/medical_105_L0_naive_0002.pdf,iLovePDF,2026-05-04,2026-07-25,82
L0_naive,medical,forged_careful/L0_naive/medicals/medical_433_L0_naive_0003.pdf,Microsoft® Word for Microsoft 365,2025-12-18,2026-02-23,67
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_224_L0_naive_0004.pdf,iLovePDF,2025-10-04,2025-12-09,66
L0_naive,medical,forged_careful/L0_naive/medicals/medical_204_L0_naive_0005.pdf,iLovePDF,2026-05-17,2026-10-31,167
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_460_L0_naive_0006.pdf,Microsoft® Word for Microsoft 365,2025-11-25,2026-08-06,254
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_715_L0_naive_0007.pdf,Canva,2025-11-14,2026-02-21,99
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_981_L0_naive_0008.pdf,Microsoft® Word for Microsoft 365,2025-12-06,2026-05-12,157
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_368_L0_naive_0009.pdf,Canva,2026-01-24,2026-10-17,266
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_748_L0_naive_0010.pdf,Microsoft® Word for Microsoft 365,2026-03-18,2027-01-08,296
L0_naive,letter,forged_careful/L0_naive/letters/letter_081_L0_naive_0011.pdf,iLovePDF,2025-11-27,2026-04-11,135
L0_naive,medical,forged_careful/L0_naive/medicals/medical_634_L0_naive_0012.pdf,Canva,2026-05-13,2026-12-06,207
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_722_L0_naive_0013.pdf,LibreOffice 7.5,2025-07-19,2026-04-02,257
L0_naive,letter,forged_careful/L0_naive/letters/letter_082_L0_naive_0014.pdf,LibreOffice 7.5,2026-06-28,2027-04-05,281
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_390_L0_naive_0015.pdf,Canva,2025-12-26,2026-04-06,101
L0_naive,letter,forged_careful/L0_naive/letters/letter_364_L0_naive_0016.pdf,LibreOffice 7.5,2026-03-13,2026-10-30,231
L0_naive,letter,forged_careful/L0_naive/letters/letter_719_L0_naive_0017.pdf,Microsoft® Word for Microsoft 365,2026-04-15,2026-11-16,215
L0_naive,medical,forged_careful/L0_naive/medicals/medical_176_L0_naive_0018.pdf,iLovePDF,2026-03-17,2026-11-18,246
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_168_L0_naive_0019.pdf,Canva,2025-10-20,2026-08-12,296
L0_naive,medical,forged_careful/L0_naive/medicals/medical_705_L0_naive_0020.pdf,iLovePDF,2025-12-19,2026-04-14,116
L0_naive,medical,forged_careful/L0_naive/medicals/medical_333_L0_naive_0021.pdf,Microsoft® Word for Microsoft 365,2026-06-05,2026-10-01,118
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_825_L0_naive_0022.pdf,Canva,2026-06-05,2026-08-20,76
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_936_L0_naive_0023.pdf,Canva,2025-12-01,2026-03-25,114
L0_naive,medical,forged_careful/L0_naive/medicals/medical_512_L0_naive_0024.pdf,Skia/PDF m120,2026-06-20,2027-04-02,286
L0_naive,medical,forged_careful/L0_naive/medicals/medical_470_L0_naive_0025.pdf,LibreOffice 7.5,2026-06-10,2026-10-15,127
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_253_L0_naive_0026.pdf,iLovePDF,2025-07-30,2025-12-04,127
L0_naive,medical,forged_careful/L0_naive/medicals/medical_599_L0_naive_0027.pdf,Skia/PDF m120,2026-06-23,2027-04-08,289
L0_naive,medical,forged_careful/L0_naive/medicals/medical_409_L0_naive_0028.pdf,Canva,2026-01-20,2026-05-16,116
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_522_L0_naive_0029.pdf,Microsoft® Word for Microsoft 365,2026-02-03,2026-11-10,280
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_157_L0_naive_0030.pdf,Skia/PDF m120,2026-03-25,2026-10-23,212
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_395_L0_naive_0031.pdf,Skia/PDF m120,2025-10-21,2026-05-04,195
L0_naive,letter,forged_careful/L0_naive/letters/letter_995_L0_naive_0032.pdf,iLovePDF,2025-12-20,2026-09-26,280
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_697_L0_naive_0033.pdf,iLovePDF,2025-09-20,2026-05-30,252
L0_naive,letter,forged_careful/L0_naive/letters/letter_788_L0_naive_0034.pdf,Canva,2025-09-11,2025-12-08,88
L0_naive,letter,forged_careful/L0_naive/letters/letter_446_L0_naive_0035.pdf,LibreOffice 7.5,2025-07-24,2026-01-16,176
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_977_L0_naive_0036.pdf,Canva,2025-07-21,2026-01-25,188
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_520_L0_naive_0037.pdf,Canva,2026-07-01,2027-04-02,275
L0_naive,medical,forged_careful/L0_naive/medicals/medical_520_L0_naive_0038.pdf,iLovePDF,2025-07-28,2025-11-15,110
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_383_L0_naive_0039.pdf,iLovePDF,2026-07-27,2027-05-18,295
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_614_L0_naive_0040.pdf,Microsoft® Word for Microsoft 365,2026-01-31,2026-04-29,88
L0_naive,letter,forged_careful/L0_naive/letters/letter_900_L0_naive_0041.pdf,Canva,2025-07-17,2025-11-15,121
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_247_L0_naive_0042.pdf,Microsoft® Word for Microsoft 365,2025-07-24,2026-03-28,247
L0_naive,letter,forged_careful/L0_naive/letters/letter_836_L0_naive_0043.pdf,Microsoft® Word for Microsoft 365,2026-01-15,2026-09-26,254
L0_naive,medical,forged_careful/L0_naive/medicals/medical_785_L0_naive_0044.pdf,LibreOffice 7.5,2026-04-25,2026-07-26,92
L0_naive,medical,forged_careful/L0_naive/medicals/medical_487_L0_naive_0045.pdf,iLovePDF,2026-06-15,2026-09-25,102
L0_naive,letter,forged_careful/L0_naive/letters/letter_541_L0_naive_0046.pdf,iLovePDF,2026-07-15,2026-12-30,168
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_952_L0_naive_0047.pdf,LibreOffice 7.5,2025-11-20,2026-07-20,242
L0_naive,letter,forged_careful/L0_naive/letters/letter_409_L0_naive_0048.pdf,Canva,2026-08-02,2027-01-21,172
L0_naive,medical,forged_careful/L0_naive/medicals/medical_463_L0_naive_0049.pdf,Microsoft® Word for Microsoft 365,2025-10-01,2026-02-01,123
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_066_L0_naive_0050.pdf,iLovePDF,2026-06-05,2026-12-23,201
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_603_L0_naive_0051.pdf,Microsoft® Word for Microsoft 365,2025-10-08,2026-06-06,241
L0_naive,medical,forged_careful/L0_naive/medicals/medical_061_L0_naive_0052.pdf,LibreOffice 7.5,2025-08-06,2025-10-22,77
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_881_L0_naive_0053.pdf,iLovePDF,2025-08-21,2025-12-19,120
L0_naive,letter,forged_careful/L0_naive/letters/letter_686_L0_naive_0054.pdf,Skia/PDF m120,2025-10-15,2026-02-06,114
L0_naive,medical,forged_careful/L0_naive/medicals/medical_136_L0_naive_0055.pdf,iLovePDF,2025-07-17,2026-02-09,207
L0_naive,letter,forged_careful/L0_naive/letters/letter_249_L0_naive_0056.pdf,Skia/PDF m120,2025-08-26,2026-05-19,266
L0_naive,letter,forged_careful/L0_naive/letters/letter_195_L0_naive_0057.pdf,Microsoft® Word for Microsoft 365,2025-10-02,2025-12-25,84
L0_naive,medical,forged_careful/L0_naive/medicals/medical_442_L0_naive_0058.pdf,Canva,2026-02-06,2026-07-24,168
L0_naive,letter,forged_careful/L0_naive/letters/letter_479_L0_naive_0059.pdf,Microsoft® Word for Microsoft 365,2025-08-07,2026-03-27,232
L0_naive,medical,forged_careful/L0_naive/medicals/medical_662_L0_naive_0060.pdf,Microsoft® Word for Microsoft 365,2026-03-09,2026-05-23,75
L0_naive,letter,forged_careful/L0_naive/letters/letter_746_L0_naive_0061.pdf,Canva,2026-01-28,2026-10-19,264
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_255_L0_naive_0062.pdf,iLovePDF,2026-04-11,2026-10-02,174
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_433_L0_naive_0063.pdf,Skia/PDF m120,2026-02-02,2026-06-05,123
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_454_L0_naive_0064.pdf,Microsoft® Word for Microsoft 365,2026-06-06,2027-01-18,226
L0_naive,medical,forged_careful/L0_naive/medicals/medical_857_L0_naive_0065.pdf,Microsoft® Word for Microsoft 365,2025-09-04,2025-11-26,83
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_171_L0_naive_0066.pdf,Skia/PDF m120,2025-11-05,2026-02-27,114
L0_naive,letter,forged_careful/L0_naive/letters/letter_925_L0_naive_0067.pdf,Microsoft® Word for Microsoft 365,2025-08-09,2025-11-19,102
L0_naive,letter,forged_careful/L0_naive/letters/letter_003_L0_naive_0068.pdf,Skia/PDF m120,2026-01-20,2026-05-27,127
L0_naive,letter,forged_careful/L0_naive/letters/letter_293_L0_naive_0069.pdf,Skia/PDF m120,2026-07-05,2027-02-28,238
L0_naive,medical,forged_careful/L0_naive/medicals/medical_803_L0_naive_0070.pdf,iLovePDF,2025-10-20,2026-06-06,229
L0_naive,medical,forged_careful/L0_naive/medicals/medical_499_L0_naive_0071.pdf,LibreOffice 7.5,2025-11-14,2026-03-02,108
L0_naive,letter,forged_careful/L0_naive/letters/letter_223_L0_naive_0072.pdf,Microsoft® Word for Microsoft 365,2026-07-12,2027-02-05,208
L0_naive,medical,forged_careful/L0_naive/medicals/medical_556_L0_naive_0073.pdf,Microsoft® Word for Microsoft 365,2026-02-28,2026-11-06,251
L0_naive,letter,forged_careful/L0_naive/letters/letter_059_L0_naive_0074.pdf,Microsoft® Word for Microsoft 365,2026-03-03,2026-09-28,209
L0_naive,letter,forged_careful/L0_naive/letters/letter_515_L0_naive_0075.pdf,iLovePDF,2026-06-20,2026-09-28,100
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_984_L0_naive_0076.pdf,LibreOffice 7.5,2025-12-22,2026-03-09,77
L0_naive,medical,forged_careful/L0_naive/medicals/medical_070_L0_naive_0077.pdf,LibreOffice 7.5,2026-01-03,2026-06-15,163
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_965_L0_naive_0078.pdf,iLovePDF,2025-11-15,2026-06-15,212
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_635_L0_naive_0079.pdf,iLovePDF,2025-11-09,2026-06-01,204
L0_naive,medical,forged_careful/L0_naive/medicals/medical_324_L0_naive_0080.pdf,Canva,2025-08-01,2025-11-21,112
L0_naive,medical,forged_careful/L0_naive/medicals/medical_734_L0_naive_0081.pdf,Canva,2026-07-12,2026-11-10,121
L0_naive,letter,forged_careful/L0_naive/letters/letter_406_L0_naive_0082.pdf,LibreOffice 7.5,2026-04-20,2026-12-07,231
L0_naive,medical,forged_careful/L0_naive/medicals/medical_308_L0_naive_0083.pdf,Skia/PDF m120,2025-12-28,2026-05-17,140
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_010_L0_naive_0084.pdf,iLovePDF,2025-07-11,2025-10-04,85
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_551_L0_naive_0085.pdf,Canva,2025-11-10,2026-02-11,93
L0_naive,letter,forged_careful/L0_naive/letters/letter_903_L0_naive_0086.pdf,Microsoft® Word for Microsoft 365,2025-09-16,2026-06-28,285
