producer,files,share_%
Adobe PDF Library 15.0,606526,7.6459
(none),459893,5.7975
Microsoft® Word 2016,330134,4.1617
Microsoft® Word 2010,248917,3.1379
Microsoft® Word 2013,189658,2.3909
Microsoft® Word for Microsoft 365,175015,2.2063
Microsoft: Print To PDF,153363,1.9333
Microsoft® Office Word 2007,147568,1.8603
Adobe PDF Library 10.0.1,110905,1.3981
Microsoft® Word 2019,104419,1.3163
Adobe PDF library 15.00,91631,1.1551
Adobe PDF Library 11.0,81848,1.0318
Adobe PDF Library 9.9,73969,0.9325
Microsoft® Word for Office 365,62338,0.7858
Qt 4.8.7,59289,0.7474
iLovePDF,50203,0.6329
GPL Ghostscript 8.15,46267,0.5832
Adobe PDF Library 9.0,43768,0.5517
Acrobat Distiller 11.0 (Windows),43165,0.5441
iText 2.1.7 by 1T3XT,42923,0.5411
Canva,41156,0.5188
Acrobat Distiller 8.1.0 (Windows),39724,0.5008
Microsoft® Excel® 2016,34709,0.4375
Acrobat Distiller 9.0.0 (Windows),33116,0.4175
Adobe PDF Library 10.0,32079,0.4044
Acrobat Distiller 7.0.5 (Windows),31847,0.4015
www.ilovepdf.com,31504,0.3971
mPDF 6.1,31410,0.396
Adobe PDF Library 21.5.80,30105,0.3795
Prince 12.5 (www.princexml.com),30003,0.3782
Adobe PDF Library 8.0,29742,0.3749
Microsoft® Word für Microsoft 365,29484,0.3717
Mac OS X 10.13.6 Quartz PDFContext,28443,0.3586
Acrobat Distiller 6.0 (Windows),27603,0.348
Microsoft® PowerPoint® 2016,27532,0.3471
Acrobat Distiller 7.0 (Windows),26641,0.3358
Adobe Photoshop for Windows -- Image Conversion Plug-in,25802,0.3253
FPDF 1.7,25372,0.3198
Microsoft® Excel® 2010,25301,0.3189
PDFium,24158,0.3045
TCPDF 2.5.000_PHP4 (http://www.tcpdf.org),24126,0.3041
Acrobat Distiller 5.0 (Windows),22973,0.2896
Acrobat Distiller 5.0.5 (Windows),22045,0.2779
Adobe PDF Library 21.1.187,21827,0.2752
Acrobat Distiller 10.1.16 (Windows),21350,0.2691
Microsoft® Excel® 2013,21271,0.2681
mPDF 6.0,20292,0.2558
GPL Ghostscript 9.27,20102,0.2534
Adobe PSL 1.3e for Canon,20044,0.2527
Acrobat Distiller 21.0 (Windows),19846,0.2502
GPL Ghostscript 9.52,19616,0.2473
GPL Ghostscript 9.06,19027,0.2399
Adobe PDF library 10.01,18611,0.2346
Skia/PDF m93 Google Docs Renderer,18274,0.2304
Mac OS X 10.11.6 Quartz PDFContext,18062,0.2277
GPL Ghostscript 9.10,17779,0.2241
Microsoft® Publisher for Microsoft 365,17594,0.2218
Qt 4.8.6,17299,0.2181
itext-paulo-155 (itextpdf.sf.net-lowagie.com),17277,0.2178
EO.Pdf 19.1.25.0,17020,0.2146
Microsoft® PowerPoint® for Microsoft 365,16989,0.2142
Microsoft® PowerPoint® 2010,16824,0.2121
Prince 9.0 rev 5 (www.princexml.com),16617,0.2095
Mac OS X 10.12.6 Quartz PDFContext,16332,0.2059
Acrobat Distiller 8.0.0 (Windows),16162,0.2037
Microsoft® Excel® 2019,15630,0.197
EPSON Scan,15574,0.1963
Microsoft® Excel® for Microsoft 365,15450,0.1948
GPL Ghostscript 9.05,15370,0.1938
Microsoft® Word pour Microsoft 365,15227,0.192
Microsoft® Publisher 2016,15224,0.1919
Microsoft® Word para Microsoft 365,15172,0.1913
macOS Version 11.4 (Build 20F71) Quartz PDFContext,14624,0.1844
Adobe PDF Library 17.11.238,14511,0.1829
Microsoft® PowerPoint® 2013,14500,0.1828
Powered By Crystal,14376,0.1812
Acrobat Distiller 6.0.1 (Windows),13868,0.1748
Mac OS X 10.10.5 Quartz PDFContext,13767,0.1735
mPDF 7.0.3,13764,0.1735
TCPDF 6.3.5 (http://www.tcpdf.org),13754,0.1734
Microsoft® Publisher 2010,13659,0.1722
Mac OS X 10.6.8 Quartz PDFContext,13630,0.1718
FPDF 1.81,13205,0.1665
Adobe PDF Library 7.0,12786,0.1612
Acrobat Distiller 10.0.0 (Windows),12758,0.1608
PDFLaTeX,12564,0.1584
Adobe Photoshop for Macintosh -- Image Conversion Plug-in,12487,0.1574
Nitro PDF PrimoPDF,12314,0.1552
Acrobat Distiller 17.0 (Windows),11999,0.1513
Microsoft® Office Excel® 2007,11925,0.1503
Microsoft® Word voor Microsoft 365,11496,0.1449
Microsoft® Word 2013,11422,0.144
HP Scan Extended Application,11339,0.1429
Acrobat Distiller 15.0 (Windows),11175,0.1409
Acrobat Distiller 9.5.5 (Windows),10943,0.1379
GPL Ghostscript 9.07,10557,0.1331
Adobe PDF library 9.90,10519,0.1326
Acrobat Distiller 20.0 (Windows),10423,0.1314
TCPDF 6.2.12 (http://www.tcpdf.org),10236,0.129
macOS Version 11.2.3 (Build 20D91) Quartz PDFContext,10151,0.128
Skia/PDF m92 Google Docs Renderer,10015,0.1263
3-Heights™ PDF Optimization Shell 6.3.1.5 (http://www.pdf-tools.com),9996,0.126
pdfTeX-1.40.21,9930,0.1252
Adobe PSL 1.2e for Canon,9923,0.1251
Adobe PDF Library 21.1.182,9702,0.1223
Adobe PDF Library 21.1.177,9515,0.1199
TCPDF 6.2.13 (http://www.tcpdf.org),9510,0.1199
SECnvtToPDF V1.0,9358,0.118
mPDF 8.0.0,9293,0.1171
Microsoft® PowerPoint® 2019,9023,0.1137
FPDF 1.53,8952,0.1128
Adobe PDF Library 20.13.106,8911,0.1123
GPL Ghostscript 8.64,8909,0.1123
Mac OS X 10.9.5 Quartz PDFContext,8816,0.1111
Microsoft® Publisher 2013,8657,0.1091
Microsoft® Office PowerPoint® 2007,8595,0.1083
Microsoft® Office Publisher 2007,8505,0.1072
Skia/PDF m79,8402,0.1059
3-Heights(TM) PDF Optimization Shell 4.8.25.2 (http://www.pdf-tools.com),7641,0.0963
