file,genre,status,words,ocr_conf,tamper_px_pct,tamper_bbox_pct,width,height
2064207146a,email,ok,44,75.5,0.0194,0.038,754,1000
2064207579a,email,ok,135,68.2,0.0878,0.163,754,1000
2067238977,email,ok,68,87.3,0.4773,8.654,754,1000
2067618492_2067618493,email,ok,311,83.2,0.4905,0.972,802,1000
2067679886,email,ok,162,75.2,0.5995,36.239,754,1000
2067686553,email,ok,154,75.2,0.1858,0.412,754,1000
2067712430,email,ok,244,81.8,0.6533,3.86,754,1000
2070046307a,email,ok,90,81.1,0.272,5.305,754,1000
2070055167d,email,ok,101,91.0,0.1277,0.36,754,1000
2070229300,email,ok,270,88.4,0.982,1.704,754,1000
2070361244,email,ok,96,85.7,0.1797,0.312,754,1000
2070437930d_7931,email,ok,71,87.6,1.1614,2.154,754,1000
2070699016,email,ok,90,90.0,0.2805,5.045,754,1000
2071279280_9280a,email,ok,45,78.4,0.2866,0.633,754,1000
2071420588,email,ok,383,90.0,1.2377,42.646,754,1000
2071863991d,email,ok,96,81.0,0.4111,2.459,754,1000
2071864008a,email,ok,71,87.2,0.1111,0.255,754,1000
2072217485,email,ok,37,66.8,0.1255,0.259,754,1000
2072334910c_4911,email,ok,111,74.9,0.2172,0.522,754,1000
2072389113b,email,ok,66,79.6,0.1017,0.204,754,1000
2072436611,email,ok,50,86.9,0.1322,2.951,754,1000
2072597633,email,ocr_below_gate,23,76.3,0.2229,4.231,754,1000
2072796336c,email,ocr_below_gate,22,85.6,0.1025,0.248,754,1000
2072815594a,email,ok,69,77.7,0.089,0.201,754,1000
2073788894,email,ok,85,70.1,0.121,0.222,754,1000
2073806199d,email,ok,35,78.2,0.0964,0.201,754,1000
2073813674a,email,ocr_below_gate,29,52.5,0.0195,0.048,754,1000
2074162425a,email,ok,103,65.9,0.1237,0.223,754,1000
2074590340a,email,ocr_below_gate,39,49.2,0.0716,0.178,754,1000
2074651324c,email,ok,27,73.0,1.5955,20.861,754,1000
2074669877,email,ok,105,87.6,0.1092,0.221,754,1000
2074787886a,email,ok,168,73.0,6.2874,57.623,754,1000
2074853115b_3116,email,ok,66,76.2,0.1798,3.845,754,1000
2074941879,email,ok,82,55.6,0.2236,2.545,754,1000
2075029957b,email,ok,79,81.5,0.7663,5.944,754,1000
2075060349,email,ok,38,84.3,0.2183,18.931,754,1000
2075574129b_4130,email,ok,130,85.2,0.4344,0.772,754,1000
2075574320a_4326,email,ok,127,86.8,0.1573,0.314,754,1000
2076143292a,email,ok,66,73.8,0.0537,0.106,754,1000
2076152477e,email,ok,36,75.0,0.0645,0.099,754,1000
2076796036,email,ok,85,88.1,0.1985,2.171,754,1000
2076861667a,email,ok,142,88.2,0.2887,0.507,754,1000
2076890467,email,ok,132,89.3,0.1696,0.351,754,1000
2076900650,email,ok,81,84.0,0.1405,4.482,754,1000
2076999660c,email,ok,30,90.3,0.0824,0.157,754,1000
2077620841a,email,ok,57,69.3,0.107,0.215,754,1000
2077620862c_0863,email,ok,306,81.8,0.4346,0.875,754,1000
2077986647a,email,ok,57,76.3,0.05,0.09,754,1000
2078021052a,email,ok,58,59.1,0.0243,0.048,754,1000
2078123201c,email,ok,32,79.7,0.2166,0.39,754,1000
2078165311a_5312,email,ok,244,87.9,0.3804,0.925,754,1000
2078186233a,email,ok,171,85.0,0.558,1.797,754,1000
2078193737,email,ok,75,75.9,0.109,2.714,754,1000
2078199131a,email,ok,46,83.5,0.0432,2.98,754,1000
2078199258b,email,ok,153,78.3,0.1057,0.838,802,1000
2078206713d,email,ok,32,57.3,0.0841,0.684,754,1000
2078207760,email,ok,240,89.3,0.5745,13.137,754,1000
2078209404,email,ok,36,72.3,0.0694,0.378,754,1000
2078306027,email,ok,110,75.8,0.3444,0.821,754,1000
2078310297,email,ok,25,83.2,0.0435,0.084,754,1000
2078313974,email,ok,205,89.7,0.5659,3.975,754,1000
2078336987,email,ok,64,82.6,0.0989,1.406,754,1000
2078379381a,email,ok,335,77.8,0.1355,3.582,754,1000
2078427563a_7565,email,ocr_below_gate,87,44.3,0.0793,0.972,754,1000
2078439651,email,ok,94,78.7,0.0683,0.637,754,1000
2078445819,email,ok,67,77.5,0.1098,0.59,754,1000
2078460440,email,ok,35,74.4,0.0309,0.394,754,1000
2078563452_3453,email,ok,328,89.4,0.3882,28.059,754,1000
2078584100,email,ok,56,79.6,0.0561,0.392,754,1000
2078611247,email,ok,232,83.8,0.5569,19.548,754,1000
2078712079,email,ok,53,85.0,0.1145,1.821,754,1000
2078718785b,email,ok,288,78.0,0.4525,6.283,754,1000
2078738415,email,ok,85,78.3,0.1268,3.062,754,1000
2078738426,email,ok,84,86.0,0.0785,1.903,754,1000
2078776378,email,ok,66,85.7,0.0593,0.713,754,1000
2078778038,email,ok,53,87.2,0.1456,2.196,754,1000
2078791283,email,ok,31,71.9,0.0674,3.162,754,1000
2078802274,email,ocr_below_gate,18,76.4,0.0373,0.067,754,1000
2078829415,email,ok,231,79.1,0.1959,5.72,754,1000
2078868211,email,ok,31,79.0,0.0544,0.127,754,1000
2078870222,email,ok,95,88.7,0.1312,1.899,754,1000
2078873173,email,ok,42,86.2,0.118,0.557,754,1000
2078874498,email,ok,37,85.5,0.1472,1.687,754,1000
2078875030,email,ok,124,87.9,0.3493,7.056,754,1000
2078876592,email,ok,191,86.8,0.0854,1.739,754,1000
2080199276a_9277,email,ok,387,70.6,0.274,0.455,754,1000
2080436359b_6360,email,ok,106,85.5,0.1564,0.635,754,1000
2080787169,email,ok,58,90.2,0.1349,1.235,754,1000
2080843299,email,ok,79,84.3,0.0989,1.048,754,1000
2080920004a,email,ok,422,67.1,0.2484,0.586,754,1000
2081172407a,email,ok,202,79.1,0.0659,0.115,754,1000
2081183829c_3830,email,ok,163,78.5,0.0814,3.467,754,1000
2081484345,email,ok,48,82.8,0.0386,0.078,754,1000
2081493039b,email,ok,36,66.3,0.0667,0.117,754,1000
2081502580,email,ok,27,82.4,0.039,0.084,754,1000
2081505304,email,ok,172,79.6,0.2113,9.544,754,1000
2081995794b,email,ok,39,65.9,0.055,0.091,754,1000
2082058850a,email,ok,40,74.2,0.0328,0.066,754,1000
2082066425a,email,ok,146,70.6,0.4522,0.847,802,1000
2082108151,email,ok,86,82.5,0.119,0.473,754,1000
2082197125,email,ok,208,81.6,0.3113,3.084,754,1000
2082713618b,email,ok,219,66.2,0.316,8.325,754,1000
2082835153c,email,ok,135,61.8,0.0751,0.647,754,1000
2082919511a,email,ok,113,86.8,0.061,1.875,754,1000
2082921074a,email,ok,147,76.0,0.2858,2.657,754,1000
2082981534c,email,ok,33,82.4,0.0497,0.092,754,1000
2083183184a,email,ok,122,85.7,0.468,10.096,754,1000
2083291895b_1896,email,ok,185,80.7,0.394,8.762,754,1000
2083292422a,email,ok,50,70.9,0.484,5.6,754,1000
2083318286a,email,ok,37,86.6,0.3312,0.681,754,1000
2083318705a,email,ok,62,69.7,0.337,4.639,754,1000
2083319555a,email,ok,36,87.3,0.1085,2.379,754,1000
2083634643c,email,ok,73,77.6,0.3324,0.798,754,1000
2083647354a,email,ok,77,73.7,0.1117,0.748,754,1000
2083647591b,email,ok,65,71.7,0.4321,4.484,754,1000
2083647735c,email,ok,67,82.2,0.0398,0.096,754,1000
2083648056b,email,ok,33,56.2,0.082,0.223,754,1000
2083648404a,email,ok,50,75.7,0.0621,1.071,754,1000
2084033388c,email,ocr_below_gate,193,51.7,0.122,0.236,754,1000
2084054554a,email,ok,226,88.7,0.1914,8.45,754,1000
523166849+-6849,email,ok,117,89.6,8.107,97.613,754,1000
524064628+-4628,email,ok,73,82.9,0.0115,0.016,754,1000
526457032+-7033,email,ok,235,65.9,0.2618,3.585,754,1000
527792930+-2930,email,ok,48,83.2,0.0593,0.083,754,1000
527814380+-4380,email,ok,69,89.0,0.1316,0.251,754,1000
527826533+-6533,email,ok,32,86.3,0.0451,0.063,754,1000
527826573+-6574,email,ok,307,84.8,0.8074,1.724,754,1000
527865252+-5252,email,ok,43,86.0,0.0834,0.202,754,1000
527865346+-5347,email,ok,144,86.0,0.2611,0.721,754,1000
527868157+-8206,email,ok,366,76.8,0.2015,5.519,754,1000
527907594+-7594,email,ok,47,86.4,4.7741,92.684,754,1000
527913905+-3905,email,ok,269,88.8,0.0334,0.055,754,1000
528006336+-6336,email,ok,166,91.5,0.0138,0.022,754,1000
528008062+-8062,email,ok,74,79.0,0.0365,0.059,754,1000
528016823+-6823,email,ok,206,86.2,0.4174,0.812,754,1000
528023163+-3163,email,ok,232,86.5,0.1663,0.412,754,1000
528026434+-6434,email,ok,36,84.5,0.0389,0.068,754,1000
528028533+-8534,email,ok,337,82.4,0.3679,0.711,754,1000
528343357+-3358,email,ok,322,89.7,0.091,0.21,754,1000
