file,genre,tamper_px_pct,variant,peak,rawmax
522866058+-6058,handwritten,22.3038,native_og,0.000000,0.457263
522866058+-6058,handwritten,22.3038,native_edit,0.000000,0.529511
522866058+-6058,handwritten,22.3038,norm_og,0.000000,0.432570
522866058+-6058,handwritten,22.3038,norm_edit,0.000000,0.503328
2041796464_2041796500,memo,12.9708,native_og,0.563671,0.563671
2041796464_2041796500,memo,12.9708,native_edit,0.000000,0.534011
2041796464_2041796500,memo,12.9708,norm_og,0.556441,0.556441
2041796464_2041796500,memo,12.9708,norm_edit,0.000000,0.525595
2053584149_2053584153,specification,12.1696,native_og,0.561610,0.561610
2053584149_2053584153,specification,12.1696,native_edit,0.000000,0.510428
2053584149_2053584153,specification,12.1696,norm_og,0.579325,0.579325
2053584149_2053584153,specification,12.1696,norm_edit,0.559681,0.559681
2073620583_0584,memo,11.1289,native_og,0.561983,0.561983
2073620583_0584,memo,11.1289,native_edit,0.000000,0.522725
2073620583_0584,memo,11.1289,norm_og,0.558814,0.558814
2073620583_0584,memo,11.1289,norm_edit,0.000000,0.511491
523166849+-6849,email,8.107,native_og,0.679040,0.679040
523166849+-6849,email,8.107,native_edit,0.696684,0.696684
523166849+-6849,email,8.107,norm_og,0.673795,0.673795
523166849+-6849,email,8.107,norm_edit,0.649309,0.649309
95602471,invoice,8.033,native_og,0.560201,0.560201
95602471,invoice,8.033,native_edit,0.807789,0.807789
95602471,invoice,8.033,norm_og,0.000000,0.541107
95602471,invoice,8.033,norm_edit,0.827281,0.827281
85669187_85669188,letter,7.4113,native_og,0.000000,0.518884
85669187_85669188,letter,7.4113,native_edit,0.000000,0.442999
85669187_85669188,letter,7.4113,norm_og,0.000000,0.488082
85669187_85669188,letter,7.4113,norm_edit,0.000000,0.467525
2074787886a,email,6.2874,native_og,0.654402,0.654402
2074787886a,email,6.2874,native_edit,0.933400,0.933400
2074787886a,email,6.2874,norm_og,0.631018,0.631018
2074787886a,email,6.2874,norm_edit,0.773999,0.773999
521820980+-0985,form,6.2598,native_og,0.000000,0.517033
521820980+-0985,form,6.2598,native_edit,0.607027,0.607027
521820980+-0985,form,6.2598,norm_og,0.000000,0.510287
521820980+-0985,form,6.2598,norm_edit,0.624476,0.624476
527907594+-7594,email,4.7741,native_og,0.937881,0.937881
527907594+-7594,email,4.7741,native_edit,0.971378,0.971378
527907594+-7594,email,4.7741,norm_og,0.953472,0.953472
527907594+-7594,email,4.7741,norm_edit,0.979493,0.979493
0060173666,memo,3.9005,native_og,0.000000,0.357679
0060173666,memo,3.9005,native_edit,0.000000,0.391727
0060173666,memo,3.9005,norm_og,0.000000,0.348155
0060173666,memo,3.9005,norm_edit,0.000000,0.350676
504189809,letter,3.7428,native_og,0.000000,0.481454
504189809,letter,3.7428,native_edit,0.000000,0.486976
504189809,letter,3.7428,norm_og,0.000000,0.501938
504189809,letter,3.7428,norm_edit,0.528992,0.528992
83197397_7398,scientific_report,2.9617,native_og,0.000000,0.515553
83197397_7398,scientific_report,2.9617,native_edit,0.000000,0.497389
83197397_7398,scientific_report,2.9617,norm_og,0.528360,0.528360
83197397_7398,scientific_report,2.9617,norm_edit,0.000000,0.478335
0000942319,memo,2.8312,native_og,0.000000,0.492441
0000942319,memo,2.8312,native_edit,0.000000,0.448818
0000942319,memo,2.8312,norm_og,0.000000,0.512070
0000942319,memo,2.8312,norm_edit,0.000000,0.443331
0000107738,letter,2.7319,native_og,0.000000,0.478266
0000107738,letter,2.7319,native_edit,0.000000,0.463433
0000107738,letter,2.7319,norm_og,0.540699,0.540699
0000107738,letter,2.7319,norm_edit,0.000000,0.466800
95680746,letter,2.6398,native_og,0.000000,0.454164
95680746,letter,2.6398,native_edit,0.000000,0.453385
95680746,letter,2.6398,norm_og,0.000000,0.465438
95680746,letter,2.6398,norm_edit,0.000000,0.443498
tob18818.43_tob18818.44,memo,2.1758,native_og,0.000000,0.399594
tob18818.43_tob18818.44,memo,2.1758,native_edit,0.000000,0.408906
tob18818.43_tob18818.44,memo,2.1758,norm_og,0.000000,0.392745
tob18818.43_tob18818.44,memo,2.1758,norm_edit,0.000000,0.408421
512560073+-0073,letter,2.0321,native_og,0.000000,0.496948
512560073+-0073,letter,2.0321,native_edit,0.000000,0.504290
512560073+-0073,letter,2.0321,norm_og,0.000000,0.479667
512560073+-0073,letter,2.0321,norm_edit,0.000000,0.501620
0012286839,memo,1.7219,native_og,0.000000,0.499668
0012286839,memo,1.7219,native_edit,0.000000,0.493563
0012286839,memo,1.7219,norm_og,0.000000,0.482568
0012286839,memo,1.7219,norm_edit,0.000000,0.491476
2043206781_6783,memo,1.6239,native_og,0.000000,0.504895
2043206781_6783,memo,1.6239,native_edit,0.000000,0.507419
2043206781_6783,memo,1.6239,norm_og,0.000000,0.475977
2043206781_6783,memo,1.6239,norm_edit,0.000000,0.494866
2074651324c,email,1.5955,native_og,0.968067,0.968067
2074651324c,email,1.5955,native_edit,0.870063,0.870063
2074651324c,email,1.5955,norm_og,0.966122,0.966122
2074651324c,email,1.5955,norm_edit,0.889729,0.889729
508559977,letter,1.5818,native_og,0.000000,0.482920
508559977,letter,1.5818,native_edit,0.000000,0.485989
508559977,letter,1.5818,norm_og,0.000000,0.474633
508559977,letter,1.5818,norm_edit,0.000000,0.477528
0060094186,memo,1.5604,native_og,0.000000,0.512074
0060094186,memo,1.5604,native_edit,0.000000,0.481306
0060094186,memo,1.5604,norm_og,0.000000,0.540060
0060094186,memo,1.5604,norm_edit,0.000000,0.480260
0060274988,memo,1.5118,native_og,0.000000,0.447328
0060274988,memo,1.5118,native_edit,0.000000,0.436153
0060274988,memo,1.5118,norm_og,0.000000,0.463224
0060274988,memo,1.5118,norm_edit,0.000000,0.446671
2040417143_2040417144,memo,1.3667,native_og,0.000000,0.527360
2040417143_2040417144,memo,1.3667,native_edit,0.000000,0.546831
2040417143_2040417144,memo,1.3667,norm_og,0.000000,0.490721
2040417143_2040417144,memo,1.3667,norm_edit,0.000000,0.521640
