file,arm,peak,rawmax,meanprob,secs
0000018957,original,0.5639,0.5639,0.049948,4.6
0000018957,edited,0.5598,0.5598,0.049902,2.5
0000018957,reauthored,0.9942,0.9942,0.052486,2.9
0000018957,reauth_ctrl,0.9337,0.9337,0.051537,2.5
0000022394,original,0.0000,0.3793,0.039272,3.0
0000022394,edited,0.0000,0.3800,0.039148,2.5
0000022394,reauthored,0.5773,0.5773,0.036646,3.2
0000022394,reauth_ctrl,0.5583,0.5583,0.036711,2.3
0000041346,original,0.5602,0.5602,0.044056,3.2
0000041346,edited,0.5560,0.5560,0.044488,2.4
0000041346,reauthored,0.9932,0.9932,0.050743,3.1
0000041346,reauth_ctrl,0.9008,0.9008,0.050998,2.4
0000046972,original,0.0000,0.4760,0.050852,2.7
0000046972,edited,0.0000,0.4801,0.050619,2.3
0000046972,reauthored,0.9196,0.9196,0.052173,2.3
0000046972,reauth_ctrl,0.5773,0.5773,0.045677,2.8
0000064508,original,0.7783,0.7783,0.044589,2.3
0000064508,edited,0.7774,0.7774,0.044547,2.6
0000064508,reauthored,0.9402,0.9402,0.048148,2.5
0000064508,reauth_ctrl,0.9402,0.9402,0.048137,2.3
0000064525,original,0.8396,0.8396,0.043595,2.8
0000064525,edited,0.8626,0.8626,0.043669,2.3
0000064525,reauthored,0.0000,0.5251,0.035957,2.5
0000064525,reauth_ctrl,0.9429,0.9429,0.050048,2.3
0000066230,original,0.5218,0.5218,0.054743,2.2
0000066230,edited,0.0000,0.5134,0.055615,2.5
0000066230,reauthored,0.5559,0.5559,0.039385,2.5
0000066230,reauth_ctrl,0.5544,0.5544,0.039013,3.1
0000107738,original,0.5407,0.5407,0.055004,3.0
0000107738,edited,0.0000,0.4668,0.053661,2.7
0000107738,reauthored,0.6891,0.6891,0.046102,2.5
0000107738,reauth_ctrl,0.9214,0.9214,0.047597,2.4
0000128669,original,0.0000,0.4927,0.055644,2.3
0000128669,edited,0.0000,0.5125,0.055686,2.4
0000128669,reauthored,0.6059,0.6059,0.040480,2.7
0000128669,reauth_ctrl,0.0000,0.4261,0.039195,2.5
0000192502,original,0.5564,0.5564,0.050656,2.4
0000192502,edited,0.5539,0.5539,0.050821,3.5
0000192502,reauthored,0.9179,0.9179,0.040732,3.9
0000192502,reauth_ctrl,0.0000,0.4428,0.038376,2.5
0000226471,original,0.0000,0.4389,0.047023,2.4
0000226471,edited,0.0000,0.4292,0.046884,2.6
0000226471,reauthored,0.9078,0.9078,0.046729,2.9
0000226471,reauth_ctrl,0.8323,0.8323,0.050090,2.5
