file,thread,status,bytes,producer,creator,creation_date,n_printed_dates,min_gap_days,cues_hit,institutional,desktop,unsigned,sig_A,sig_B,sig_C,score
033750.pdf,033,ok,56313,Acrobat Distiller 5.0.5 (Windows),AdobePS5.dll Version 5.2.2,2005-04-13,3,2190,invoice:purchase order,True,True,True,2,2,1,5
085504.pdf,085,ok,315003,Acrobat Distiller 5.0 (Windows),ADOBEPS4.DRV Version 4.50,2002-08-14,9,98,medical:histopathology,True,True,True,2,2,1,5
184601.pdf,184,ok,404806,Acrobat Distiller 6.0.1 (Windows),PScript5.dll Version 5.2,2004-11-02,1,875,letter:employed with,True,True,True,2,2,1,5
184822.pdf,184,ok,229180,Acrobat Distiller 3.01 for Windows,Windows NT 4.0,1999-07-28,1,5946,letter:termination of employment,True,True,True,2,2,1,5
202193.pdf,202,ok,122357,Acrobat Distiller 5.0.5 (Windows),PScript5.dll Version 5.2,2003-08-27,2,150,invoice:amount due,True,True,True,2,2,1,5
001270.pdf,001,ok,54672,Adobe PDF Library 4.0,Acrobat Capture 3.0,2002-12-09,0,,letter:to whom it may concern,True,True,True,2,0,1,3
001271.pdf,001,ok,26469,Acrobat PDFWriter 3.0 for Windows,Microsoft Word ,,0,,medical:microscopic examination,True,True,True,2,0,1,3
001075.pdf,001,ok,58095,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.7 for Word,2006-02-24,4,1,invoice:purchase order,True,True,True,2,0,1,3
001490.pdf,001,ok,96931,Acrobat Distiller 8.1.0 (Windows),PScript5.dll Version 5.2.2,2008-04-30,2,28,letter:to whom it may concern,True,True,True,2,0,1,3
016655.pdf,016,ok,307536,Acrobat Distiller 8.1.0 (Windows),Acrobat PDFMaker 8.1 for Word,2008-09-04,0,,letter:termination of employment,True,True,True,2,0,1,3
033332.pdf,033,ok,47899,Adobe Acrobat 7.08 Paper Capture Plug-in,Adobe Acrobat 7.08,2007-10-05,0,,letter:to whom it may concern,True,True,True,2,0,1,3
038337.pdf,038,ok,78828,Mac OS X 10.4.7 Quartz PDFContext,Word,2006-09-21,0,,invoice:bill to,True,True,True,2,0,1,3
085229.pdf,085,ok,2070137,Acrobat Distiller 6.0 (Windows),Acrobat PDFMaker 6.0 for Word,2005-12-21,5,6,medical:pathology report,True,True,True,2,0,1,3
085562.pdf,085,ok,25651,Acrobat PDFWriter 3.0 for Windows,F:\APPS\PCDIALS\FSISDIRE20.1,,0,,medical:laboratory report,True,True,True,2,0,1,3
085572.pdf,085,ok,392022,Acrobat Distiller 5.0 (Windows),Acrobat PDFMaker 5.0 for Word,2002-10-16,5,1,invoice:bill to,True,True,True,2,0,1,3
