file,producer,institutional,score_P0_published,score_P1_converter_excl,score_P2_authoring_only,score_P3_author_or_editor
001306.pdf,Acrobat Distiller 7.0.5 (Windows),False,2,2,2,2
001307.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
001309.pdf,Acrobat Distiller 3.02,False,2,2,2,2
001310.pdf,Acrobat PDFWriter 3.01 for Windows,False,0,0,0,0
001311.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001312.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
001313.pdf,Acrobat Distiller 6.0.1 (Windows),False,2,2,2,2
001341.pdf,Acrobat Distiller 7.0 (Windows),False,0,0,0,0
001343.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001355.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
001358.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
001359.pdf,Acrobat Net Distiller 1.0 for Windows,False,0,0,0,0
001363.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001364.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
001367.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
001368.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001369.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001370.pdf,PrimoPDF,False,2,2,2,2
001371.pdf,Acrobat Distiller 8.1.0 (Windows),False,2,2,2,2
001372.pdf,Acrobat Distiller 4.0 for Macintosh,False,0,0,0,0
001024.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
001028.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001029.pdf,Corel PDF Engine Version 9.654,False,2,2,2,2
001030.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
001031.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001032.pdf,Acrobat PDFWriter 4.0 for Windows,False,2,2,2,2
001033.pdf,Corel PDF Engine Version 10.719,False,0,0,0,0
001034.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
001035.pdf,Acrobat Distiller 7.0 (Windows),False,0,0,0,0
001036.pdf,Acrobat Distiller 8.1.0 (Windows),False,2,2,2,2
001037.pdf,Creo Normalizer JTP,False,2,2,2,2
001038.pdf,Acrobat Distiller 5.0 (Windows),False,2,2,2,2
001039.pdf,Adobe PDF Library 6.0,False,0,0,0,0
001040.pdf,Acrobat Distiller 2.1 for Windows,False,0,0,0,0
001041.pdf,Acrobat Web Capture 5.0,False,0,0,0,0
001042.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
001043.pdf,,False,0,0,0,0
001044.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
001045.pdf,,False,0,0,0,0
001046.pdf,Acrobat PDFWriter 2.0 for Macintosh,False,0,0,0,0
001047.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001049.pdf,Acrobat Distiller 7.0.5 (Windows),False,2,2,2,2
001050.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001053.pdf,Acrobat Distiller 3.0 for Windows,False,0,0,0,0
001057.pdf,Acrobat Distiller 4.05 for Windows,False,2,2,2,2
001058.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001059.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
001060.pdf,Mac OS X 10.4.6 Quartz PDFContext,False,0,0,0,0
001061.pdf,pdfeTeX-1.21a,False,0,0,0,0
001062.pdf,Acrobat Distiller 5.0.5 (Windows),False,2,2,2,2
001063.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001064.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
001065.pdf,Acrobat Distiller 7.0.5 (Windows),False,2,2,2,2
001067.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
001068.pdf,Corel PDF Engine Version 11.321,False,0,0,0,0
001069.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
001070.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
001071.pdf,Acrobat Distiller 7.0 (Windows),False,0,0,0,0
001072.pdf,Adobe PDF Library 8.0,False,2,2,2,2
001073.pdf,Acrobat Distiller 7.0 (Windows),False,0,0,0,0
001147.pdf,Acrobat Distiller Command 3.01 for Solaris 2.3 and later (SPARC),False,2,2,2,2
001148.pdf,Corel PDF Engine Version 9.398,False,0,0,0,0
001149.pdf,Acrobat Distiller 4.0 for Macintosh,False,0,0,0,0
001150.pdf,RealPage data converter,False,2,2,2,2
001152.pdf,Hewlett-Packard Intelligent Scanning Technology3,False,2,2,2,2
001154.pdf,Microsoft® Office Access 2007,False,0,0,0,0
001155.pdf,Acrobat Distiller 5.0.5 for Macintosh,False,2,2,2,2
001157.pdf,GNU Ghostscript 7.07,False,0,0,0,0
001256.pdf,Adobe PDF Library 8.0,False,0,0,0,0
001257.pdf,Adobe PDF Library 7.0,False,0,0,0,0
