file,thread,status,bytes,producer,creator,creation_date,n_printed_dates,min_gap_days,cues_hit,institutional,desktop,unsigned,sig_A,sig_B,sig_C,score
001306.pdf,001,ok,261059,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.7 for Word,2006-12-14,4,1019,,False,True,True,0,2,0,2
001307.pdf,001,ok,936487,Acrobat Distiller 6.0.1 (Windows),Acrobat PDFMaker 6.0 for Word,2005-01-28,1,28,,False,True,True,0,0,0,0
001309.pdf,001,ok,182724,Acrobat Distiller 3.02,CUP Printing,2000-06-27,2,96,,False,True,True,0,2,0,2
001310.pdf,001,ok,613415,Acrobat PDFWriter 3.01 for Windows,Microsoft Word ,,1,,,False,True,True,0,0,0,0
001311.pdf,001,ok,675556,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.7 for Word,2006-04-20,0,,,False,True,True,0,0,0,0
001312.pdf,001,ok,124799,Acrobat Distiller 5.0 (Windows),Adobe PageMaker 6.52,2003-11-21,0,,,False,True,True,0,0,0,0
001313.pdf,001,ok,284378,Acrobat Distiller 6.0.1 (Windows),3B2 Total Publishing System 8.07c/W,2006-06-01,4,249,,False,True,True,0,2,0,2
001341.pdf,001,ok,19203,Acrobat Distiller 7.0 (Windows),Acrobat PDFMaker 7.0 for Word,2007-06-01,4,1,,False,True,True,0,0,0,0
001343.pdf,001,ok,7120,Acrobat Distiller 7.0.5 (Windows),PScript5.dll Version 5.2.2,2008-04-01,1,8,,False,True,True,0,0,0,0
001355.pdf,001,ok,34488,Acrobat Distiller 5.0.5 (Windows),ACOMP.exe   WinVer 1c15  Aug 31 2005,2008-09-25,8,0,,False,True,True,0,0,0,0
001358.pdf,001,ok,44253,Acrobat Distiller 5.0.5 (Windows),,2004-01-30,0,,,False,True,True,0,0,0,0
001359.pdf,001,ok,20559,Acrobat Net Distiller 1.0 for Windows,,,4,,,False,True,True,0,0,0,0
001363.pdf,001,ok,49573,Acrobat Distiller 7.0.5 (Windows),ACOMP.exe   WinVer 2.0  Nov 24 2008,2009-01-14,16,1,,False,True,True,0,0,0,0
001364.pdf,001,ok,49248,Acrobat Distiller 5.0.5 (Windows),ACOMP.exe   WinVer 1c15  Aug 31 2005,2008-09-26,16,1,,False,True,True,0,0,0,0
001367.pdf,001,ok,68943,Acrobat Distiller 4.0 for Windows,ACOMP.exe   WinVer 1c15  Aug 31 2005,2007-09-29,36,1,,False,True,True,0,0,0,0
001368.pdf,001,ok,58650,Acrobat Distiller 7.0.5 (Windows),ACOMP.exe   WinVer 2.0  Nov 24 2008,2009-01-14,17,1,,False,True,True,0,0,0,0
001369.pdf,001,ok,99771,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.7 for Word,2007-01-09,16,20,,False,True,True,0,0,0,0
001370.pdf,001,ok,2593056,PrimoPDF,PrimoPDF http://www.primopdf.com,2008-05-21,1,80,,False,False,True,0,2,0,2
001371.pdf,001,ok,772476,Acrobat Distiller 8.1.0 (Windows),Acrobat PDFMaker 8.1 for Word,2008-06-26,6,761,,False,True,True,0,2,0,2
001372.pdf,001,ok,403233,Acrobat Distiller 4.0 for Macintosh,QuarkXPressª: LaserWriter 8 8.7.1,2008-12-16,0,,,False,True,True,0,0,0,0
001024.pdf,001,ok,339738,Acrobat Distiller 6.0 (Windows),PScript5.dll Version 5.2.2,2006-04-06,0,,,False,True,True,0,0,0,0
001028.pdf,001,ok,867914,Acrobat Distiller 7.0.5 (Windows),PScript5.dll Version 5.2.2,2007-04-03,0,,,False,True,True,0,0,0,0
001029.pdf,001,ok,3156095,Corel PDF Engine Version 9.654,POP90,2002-08-12,1,73,,False,False,True,0,2,0,2
001030.pdf,001,ok,52718,Acrobat Distiller 5.0.5 (Windows),ACOMP.exe   WinVer 1c15  Aug 31 2005,2008-09-13,26,1,,False,True,True,0,0,0,0
001031.pdf,001,ok,53333,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.7 for Word,2007-01-31,0,,,False,True,True,0,0,0,0
001032.pdf,001,ok,159629,Acrobat PDFWriter 4.0 for Windows,W:\research\zip\unzip\NUTTREES.WPD,1999-05-05,1,346,,False,True,True,0,2,0,2
001033.pdf,001,ok,221944,Corel PDF Engine Version 10.719,Print Server 100,2007-06-15,2,2,,False,False,True,0,0,0,0
001034.pdf,001,ok,259005,Acrobat Distiller 6.0.1 (Windows),Acrobat PDFMaker 6.0 for Word,2005-09-02,0,,,False,True,True,0,0,0,0
001035.pdf,001,ok,543248,Acrobat Distiller 7.0 (Windows),PScript5.dll Version 5.2,2006-07-03,0,,,False,True,True,0,0,0,0
001036.pdf,001,ok,655146,Acrobat Distiller 8.1.0 (Windows),PScript5.dll Version 5.2,2007-11-13,1,682,,False,True,True,0,2,0,2
001037.pdf,001,ok,293876,Creo Normalizer JTP,,2004-09-29,30,343,,False,False,True,0,2,0,2
001038.pdf,001,ok,442169,Acrobat Distiller 5.0 (Windows),Acrobat PDFMaker 5.0 for Word,2001-09-07,3,709,,False,True,True,0,2,0,2
001039.pdf,001,ok,109749,Adobe PDF Library 6.0,Adobe InDesign CS (3.0.1),2006-12-04,0,,,False,False,True,0,0,0,0
001040.pdf,001,ok,78781,Acrobat Distiller 2.1 for Windows,,1997-01-21,0,,,False,True,True,0,0,0,0
001041.pdf,001,ok,48761,Acrobat Web Capture 5.0,,2002-12-31,0,,,False,True,True,0,0,0,0
001042.pdf,001,ok,87009,Acrobat Distiller 6.0.1 (Windows),Acrobat PDFMaker 6.0 for Word,2005-09-02,0,,,False,True,True,0,0,0,0
001043.pdf,001,ok,4275815,,,2005-06-23,0,,,False,False,True,0,0,0,0
001044.pdf,001,ok,13926,Acrobat Distiller 5.0.5 (Windows),ADOBEPS4.DRV Version 4.50,2004-06-01,5,9,,False,True,True,0,0,0,0
001045.pdf,001,ok,4128297,,,2004-08-18,1,0,,False,False,True,0,0,0,0
001046.pdf,001,ok,535330,Acrobat PDFWriter 2.0 for Macintosh,WordPerfect,1996-07-29,0,,,False,True,True,0,0,0,0
001047.pdf,001,ok,85421,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.7 for Word,2007-06-20,0,,,False,True,True,0,0,0,0
001049.pdf,001,ok,41479,Acrobat Distiller 7.0.5 (Windows),PScript5.dll Version 5.2.2,2007-10-18,1,74,,False,True,True,0,2,0,2
001050.pdf,001,ok,172554,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.7 for Word,2008-07-25,0,,,False,True,True,0,0,0,0
001053.pdf,001,ok,736659,Acrobat Distiller 3.0 for Windows,,1998-07-13,0,,,False,True,True,0,0,0,0
001057.pdf,001,ok,584142,Acrobat Distiller 4.05 for Windows,,2004-09-17,3,961,,False,True,True,0,2,0,2
001058.pdf,001,ok,53463,Acrobat Distiller 7.0.5 (Windows),PScript5.dll Version 5.2.2,2008-06-18,0,,,False,True,True,0,0,0,0
001059.pdf,001,ok,410678,Acrobat Distiller 6.0 (Windows),PScript5.dll Version 5.2.2,2005-10-04,4,5,,False,True,True,0,0,0,0
001060.pdf,001,ok,176164,Mac OS X 10.4.6 Quartz PDFContext,Word,2007-06-04,0,,,False,True,True,0,0,0,0
001061.pdf,001,ok,328194,pdfeTeX-1.21a,LaTeX with beamer class version 3.06,2008-05-14,0,,,False,False,True,0,0,0,0
001062.pdf,001,ok,545982,Acrobat Distiller 5.0.5 (Windows),FrameMaker 7.0,2003-04-17,6,1305,,False,True,True,0,2,0,2
001063.pdf,001,ok,255754,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.7 for Word,2007-05-01,6,0,,False,True,True,0,0,0,0
001064.pdf,001,ok,451958,Acrobat Distiller 5.0 (Windows),PScript5.dll Version 5.2,2004-07-01,1,1,,False,True,True,0,0,0,0
001065.pdf,001,ok,323355,Acrobat Distiller 7.0.5 (Windows),PScript5.dll Version 5.2,2007-10-24,3,51,,False,True,True,0,2,0,2
001067.pdf,001,ok,220271,Acrobat Distiller 5.0 (Windows),PScript5.dll Version 5.2,2004-08-12,1,10,,False,True,True,0,0,0,0
001068.pdf,001,ok,281439,Corel PDF Engine Version 11.321,Print Server 110,2007-05-01,0,,,False,False,True,0,0,0,0
001069.pdf,001,ok,31858,Acrobat Distiller 6.0 (Windows),Acrobat PDFMaker 6.0 for Word,2003-11-13,0,,,False,True,True,0,0,0,0
